,count,mean,std,min,25%,50%,75%,max
X3 distance to the nearest MRT station,414.0,1083.8856889130436,1262.1095954078512,23.382839999999998,289.3248,492.2313,1454.279,6488.021
X4 number of convenience stores,414.0,4.094202898550725,2.945561805663618,0.0,1.0,4.0,6.0,10.0
X5 latitude,414.0,24.969030072463767,0.012410196590450128,24.93207,24.963,24.9711,24.977455,25.01459
X6 longitude,414.0,121.53336108695655,0.015347183004590918,121.47353000000001,121.528085,121.53863,121.543305,121.56626999999999
X1,414.0,0.4533188405797178,0.28183616174205695,0.0,0.25,0.4170000000001437,0.6670000000001437,0.9170000000001437
X2,414.0,17.71256038647343,11.39248453324253,0.0,9.025,16.1,28.15,43.8
X12,414.0,0.28473772946862025,0.2720318439937024,0.0,0.0625,0.17388900000011984,0.4448890000001917,0.8408890000002636
X22,414.0,443.21,470.74663879115684,0.0,81.4525,259.21000000000004,792.4300000000001,1918.4399999999998
sinX1,414.0,0.4205734363009192,0.24635980987294986,0.0,0.24740395925452294,0.40501935542700046,0.6186317311313801,0.7937805820881075
sinX2,414.0,0.005687698871546469,0.6906014217538982,-0.9999902065507035,-0.6761178353877643,0.0,0.6695697621966024,0.9999118601072672
